ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
C9orf169,2355.587586,-2.052870286,0.359367866,-5.712448103,1.11E-08,6.24E-08
LOC342346,3.99524594,-2.052494019,0.300968465,-6.819631491,9.13E-12,7.81E-11
PTPRN2,167.3184328,-2.051743502,0.230192927,-8.913147454,4.96E-19,1.06E-17
C14orf48,0.688640665,-2.049593889,0.621191648,-3.299455003,0.000968728,0.002389183
CAPN5,639.5772771,-2.049197374,0.201123508,-10.18875117,2.23E-24,9.16E-23
LOC100128640,30.20552266,-2.049180517,0.234554657,-8.736473388,2.41E-18,4.71E-17
C4orf6,3.365093307,-2.048835745,0.45118644,-4.540995839,5.60E-06,2.06E-05
WDR16,8.981990093,-2.046267615,0.340100695,-6.016652263,1.78E-09,1.13E-08
RHD,6.2174976,-2.045701094,0.272335856,-7.511684741,5.84E-14,6.52E-13
RPRM,48.16338572,-2.044958506,0.425118125,-4.810330089,1.51E-06,6.12E-06
ABHD12B,32.06829474,-2.044538329,0.43797695,-4.668141391,3.04E-06,1.17E-05
NFIX,3901.321235,-2.044525202,0.149494734,-13.67623556,1.41E-42,5.17E-40
ADAMTSL3,87.39906286,-2.044467126,0.365695531,-5.590626503,2.26E-08,1.22E-07
ATP6V0E2,429.9614527,-2.043862732,0.244824296,-8.348283913,6.93E-17,1.13E-15
GCKR,6.213729502,-2.041907757,0.315262674,-6.47684589,9.37E-11,7.09E-10
OGDHL,123.0565589,-2.037991271,0.414915656,-4.911820611,9.02E-07,3.81E-06
ANKRD20A4,1.496701093,-2.036969504,0.482398257,-4.222588855,2.42E-05,7.97E-05
PCDHA3,7.776972475,-2.036382913,0.490743965,-4.149583201,3.33E-05,0.000107552
FAM184A,34.97128369,-2.036332097,0.289877933,-7.024791696,2.14E-12,1.99E-11
ASB5,519.8657407,-2.033939846,0.647733272,-3.140088572,0.001688968,0.003969604
DDX25,2.288143274,-2.032529473,0.522054766,-3.893326152,9.89E-05,0.000293565
ZFP106,4874.225016,-2.03138731,0.183907206,-11.04571895,2.30E-28,1.43E-26
RBP4,60.77207556,-2.030930609,0.515730552,-3.937968382,8.22E-05,0.000247156
DOK5,74.90770576,-2.030849489,0.304481352,-6.669864919,2.56E-11,2.07E-10
SLC16A7,135.9218505,-2.030686262,0.29428304,-6.900452917,5.18E-12,4.60E-11
P2RY4,2.338576219,-2.029845962,0.338065232,-6.004302624,1.92E-09,1.21E-08
KIAA2022,24.97916509,-2.027866878,0.443001957,-4.577557384,4.70E-06,1.75E-05
CLEC4F,9.266883186,-2.026988899,0.320006889,-6.334203948,2.39E-10,1.72E-09
FOLH1,199.9243677,-2.026720192,0.298949707,-6.779468743,1.21E-11,1.02E-10
EPDR1,390.5624907,-2.021898549,0.292581111,-6.910557369,4.83E-12,4.29E-11
FCER1A,200.8874457,-2.021207022,0.335920926,-6.016913111,1.78E-09,1.12E-08
AMHR2,3.109406295,-2.020218662,0.391931322,-5.154522105,2.54E-07,1.16E-06
CXCR2,321.3518703,-2.0200551,0.321762993,-6.278083999,3.43E-10,2.41E-09
KEL,12.14472798,-2.017230857,0.380496928,-5.30156936,1.15E-07,5.53E-07
SMARCD3,440.7383136,-2.015254477,0.234249987,-8.603007839,7.77E-18,1.44E-16
ARHGAP20,92.66005946,-2.015137912,0.279398457,-7.21241603,5.50E-13,5.46E-12
GGT6,1335.414152,-2.01457209,0.263101659,-7.657010223,1.90E-14,2.26E-13
EYA1,55.72597195,-2.014040439,0.378117107,-5.326499127,1.00E-07,4.87E-07
KRT34,215.6226918,-2.013166121,0.38475525,-5.23232918,1.67E-07,7.87E-07
ADCY5,69.5616055,-2.012763828,0.380655783,-5.287621834,1.24E-07,5.94E-07
CNGA3,1.899984514,-2.010214842,0.343058655,-5.859682629,4.64E-09,2.75E-08
CRHBP,6.661633587,-2.009939245,0.361952621,-5.553045139,2.81E-08,1.49E-07
PBX1,1461.032055,-2.008296132,0.266143811,-7.545905829,4.49E-14,5.08E-13
CMTM5,5.355784952,-2.006657,0.476527531,-4.21099909,2.54E-05,8.36E-05
SLC9A2,149.1477885,-2.006653762,0.400864379,-5.005817099,5.56E-07,2.42E-06
EPHX2,657.5679446,-2.006215191,0.207911878,-9.649353416,4.95E-22,1.56E-20
FRMD1,3.978557351,-2.00485142,0.580814061,-3.451795599,0.000556869,0.001439819
LOC339524,67.97698716,-2.004672714,0.235346724,-8.517954608,1.62E-17,2.88E-16
ACADSB,653.5507357,-2.003320578,0.168009877,-11.92382624,8.89E-33,9.38E-31
GULP1,224.8592187,-2.00048384,0.286316577,-6.986964779,2.81E-12,2.57E-11
FRY,378.2967929,-2.000483339,0.259406387,-7.711773654,1.24E-14,1.52E-13
ZNF853,216.3199863,-2.000427048,0.284230323,-7.038049379,1.95E-12,1.82E-11
WARS,37755.50987,2.001276843,0.288034642,6.948042185,3.70E-12,3.33E-11
GUCA1A,12.22984109,2.002130476,0.310086019,6.456693802,1.07E-10,8.04E-10
ACCN4,5.280776852,2.0042772,0.473706442,4.23105329,2.33E-05,7.71E-05
SCN9A,240.2125753,2.005346462,0.418497713,4.791774008,1.65E-06,6.67E-06
CHST11,1026.71409,2.00979077,0.168819371,11.90497724,1.11E-32,1.15E-30
FOXM1,4105.434697,2.012477616,0.155006576,12.98317577,1.52E-38,3.44E-36
GFI1,145.2058524,2.012657925,0.24457514,8.229200755,1.88E-16,2.89E-15
SULT1E1,141.22045,2.017164218,0.457328528,4.410755275,1.03E-05,3.64E-05
IGFBP6,7282.272873,2.019442192,0.297143432,6.79618654,1.07E-11,9.13E-11
MSLNL,1.173134764,2.019931523,0.730255567,2.76606111,0.00567379,0.011894993
IGFL2,540.9148442,2.020800741,0.373201623,5.414769431,6.14E-08,3.09E-07
TBX5,5.842342648,2.02448824,0.601348113,3.366582844,0.000761057,0.001919234
LOC285954,6.947444695,2.026981723,0.390478566,5.191019175,2.09E-07,9.68E-07
PKMYT1,1960.826648,2.027101875,0.174967254,11.58560716,4.88E-31,4.12E-29
CEP55,2144.421607,2.02781457,0.158528988,12.79144333,1.83E-37,3.36E-35
FZD2,339.2486138,2.030179207,0.176113583,11.52766963,9.57E-31,7.81E-29
HIST1H2AG,22.5636572,2.031126124,0.242790959,8.365740363,5.97E-17,9.84E-16
BMP1,4579.849391,2.031674115,0.138924251,14.62433012,1.96E-48,1.39E-45
PLEK2,4014.939231,2.031953786,0.196647064,10.33299832,5.00E-25,2.20E-23
XAF1,4819.251217,2.033093745,0.217286018,9.356762845,8.22E-21,2.22E-19
SALL1,55.69441639,2.034182408,0.36988077,5.499562487,3.81E-08,1.98E-07
CTRB2,1.579510068,2.034293343,0.769432071,2.64388946,0.008195942,0.016592076
TMEM26,52.16355947,2.036144937,0.250390679,8.131871937,4.23E-16,6.24E-15
ZNF695,50.74330887,2.038263089,0.333397163,6.11361858,9.74E-10,6.42E-09
OAS2,11014.8838,2.039414086,0.217218034,9.388788048,6.07E-21,1.66E-19
ZG16,1.168180875,2.040143528,0.733343258,2.781976251,0.005402899,0.011373952
FRMD5,52.56932474,2.043873975,0.36643355,5.577747924,2.44E-08,1.31E-07
LRAT,220.8476648,2.044457715,0.523062541,3.908629571,9.28E-05,0.000276706
OR1J4,1.208749402,2.044868295,0.513702224,3.980649097,6.87E-05,0.000209928
MYO3B,156.4907095,2.045506482,0.356169201,5.743075142,9.30E-09,5.27E-08
PLA2G2F,345.9894103,2.046964153,0.430929813,4.750110321,2.03E-06,8.07E-06
STRA8,2.660347585,2.046965673,0.880925831,2.323652685,0.020144116,0.037123931
IL17C,9.985098734,2.048267414,0.514716813,3.979406463,6.91E-05,0.000210931
HIST1H3C,6.174650097,2.049154413,0.35172973,5.825934635,5.68E-09,3.33E-08
WISP3,176.3906417,2.052417522,0.453982358,4.520919116,6.16E-06,2.25E-05
COX6B2,167.6402412,2.053914785,0.30014645,6.843042075,7.75E-12,6.70E-11
AMDHD1,56.2125494,2.055121586,0.431564798,4.762023217,1.92E-06,7.65E-06
HOXA7,203.6069985,2.059751796,0.399746826,5.152640771,2.57E-07,1.17E-06
HRASLS2,81.38989471,2.064518191,0.353705892,5.836821605,5.32E-09,3.13E-08
LOC400696,52.81642747,2.067201036,0.451150507,4.582065197,4.60E-06,1.72E-05
IFNE,54.449936,2.067863734,0.34331129,6.0232908,1.71E-09,1.08E-08
HIST1H3H,55.10273948,2.067948305,0.247174655,8.366344468,5.94E-17,9.80E-16
SLC5A11,6.027090625,2.069310193,0.520372378,3.97659499,6.99E-05,0.000213275
CD80,82.93674584,2.069529945,0.239417704,8.64401384,5.43E-18,1.02E-16
ADRA1B,25.07561447,2.071902156,0.361772777,5.72708143,1.02E-08,5.76E-08
ESPNL,87.23972707,2.072066135,0.375445215,5.51895737,3.41E-08,1.79E-07
LUZP4,0.879924958,2.076122428,0.920293567,2.255934958,0.024074705,0.043546505
INSM2,1.42088097,2.078218129,0.479675313,4.332551779,1.47E-05,5.06E-05
HBQ1,2.187235484,2.079691598,0.809659464,2.568600368,0.010211014,0.020199053
STK31,72.512671,2.080946729,0.342218311,6.080757983,1.20E-09,7.77E-09
COL27A1,1532.3415,2.083084152,0.196329097,10.61016521,2.67E-26,1.34E-24
GPRIN1,1068.629115,2.084335508,0.151671875,13.74239957,5.66E-43,2.29E-40
TBR1,0.945491392,2.085577332,0.76745615,2.717519865,0.006577321,0.013594351
ITGA6,48905.70741,2.087072196,0.194526194,10.72900337,7.44E-27,3.97E-25
AKR1C3,6045.054302,2.087673907,0.386737701,5.398164967,6.73E-08,3.36E-07
LAMA1,772.7951928,2.088381513,0.338597961,6.167732097,6.93E-10,4.64E-09
CCL7,24.78698211,2.089134186,0.364296447,5.734709196,9.77E-09,5.52E-08
SPRED3,5.865436761,2.090622954,0.325477567,6.42324745,1.33E-10,9.91E-10
LOC389458,17.51854878,2.095158253,0.361768847,5.791428065,6.98E-09,4.03E-08
SULF1,5846.019114,2.095735395,0.274946558,7.622337274,2.49E-14,2.90E-13
RAG1,231.995191,2.095852921,0.277221029,7.560223437,4.02E-14,4.57E-13
ODZ3,1482.560166,2.097198282,0.248902866,8.425769924,3.58E-17,6.12E-16
GRIN3B,47.52155307,2.098308252,0.382723729,5.482566388,4.19E-08,2.17E-07
NEFM,824.0793058,2.101116689,0.517527622,4.059912167,4.91E-05,0.000153858
HIST1H3B,3.83107312,2.102023816,0.400851658,5.243894532,1.57E-07,7.42E-07
LOC727677,1.18361306,2.102263465,0.742971548,2.82953428,0.004661581,0.009947413
HOXA9,43.86736501,2.103253013,0.377822821,5.566770712,2.60E-08,1.39E-07
LOC285548,10.32011541,2.10406164,0.380642391,5.527659794,3.25E-08,1.71E-07
SP9,9.039674886,2.104366929,0.520051873,4.046455824,5.20E-05,0.000162177
GDF6,32.78780222,2.104492582,0.364490127,5.773798597,7.75E-09,4.45E-08
DSC1,1939.313992,2.104796289,0.477622361,4.406821079,1.05E-05,3.70E-05
RCN3,2059.800211,2.108179849,0.259736796,8.116600666,4.79E-16,7.01E-15
ELFN2,110.2970583,2.109000385,0.397147775,5.310366863,1.09E-07,5.29E-07
EPSTI1,2344.173378,2.109196319,0.250587569,8.417002981,3.86E-17,6.57E-16
KIF14,734.2241939,2.11143082,0.1697431,12.43897875,1.61E-35,2.36E-33
EXD1,1.451509496,2.111507162,0.532090839,3.968320832,7.24E-05,0.000220105
DLX2,121.0925168,2.118417632,0.295327102,7.17312301,7.33E-13,7.20E-12
HORMAD1,153.7300796,2.121122235,0.547066713,3.8772643,0.000105638,0.000312006
ADD2,147.8318934,2.121506535,0.428885687,4.94655475,7.55E-07,3.22E-06
OR1J2,2.043750514,2.121509393,0.504454712,4.205549761,2.60E-05,8.55E-05
ASCL1,4.365613348,2.123408221,0.575345177,3.690668324,0.000223666,0.000623742
ULBP2,967.571736,2.124332655,0.192082537,11.05947835,1.97E-28,1.25E-26
PSG2,1.123636698,2.124360357,0.823938967,2.578298202,0.009928827,0.019685989
PSG7,1.477247681,2.124596245,0.666353945,3.188389985,0.001430674,0.003410616
LOC440173,245.9360422,2.125073618,0.43717329,4.860941109,1.17E-06,4.84E-06
HSF2BP,80.81498252,2.128281027,0.226028221,9.415996902,4.69E-21,1.31E-19
LOC646627,1.131737318,2.130064698,0.89594733,2.377444104,0.017433085,0.032618596
TDO2,305.4379835,2.132497754,0.313717254,6.797515045,1.06E-11,9.06E-11
LOC150197,6.956376297,2.132569339,0.403587481,5.284032427,1.26E-07,6.05E-07
CLDN14,33.66528593,2.133306699,0.320930403,6.647256466,2.99E-11,2.40E-10
SH2D2A,571.9978588,2.135117969,0.209093655,10.21129968,1.76E-24,7.32E-23
LOC339674,6.272231399,2.135898947,0.394016942,5.420830219,5.93E-08,2.99E-07
KREMEN2,583.9998083,2.139801353,0.288151512,7.425959144,1.12E-13,1.22E-12
RIPPLY2,2.883999244,2.147315447,0.893650648,2.40285782,0.016267511,0.030704134
C21orf125,102.8484489,2.148379028,0.224614168,9.564752973,1.12E-21,3.40E-20
SLC6A7,6.073235593,2.14958582,0.358094541,6.002844422,1.94E-09,1.22E-08
EMX1,33.37917641,2.151276055,0.353434519,6.086774044,1.15E-09,7.51E-09
PMEPA1,7631.379728,2.151366009,0.204817599,10.5038142,8.30E-26,4.02E-24
CSPG4,9345.788302,2.151918658,0.257357401,8.361596171,6.19E-17,1.02E-15
UCN2,360.780563,2.154496759,0.245789397,8.765621225,1.86E-18,3.70E-17
NEFL,2688.184883,2.154639369,0.345017234,6.245019544,4.24E-10,2.94E-09
MSLN,1468.171227,2.15801106,0.49916492,4.323242624,1.54E-05,5.26E-05
LCE1D,6.416239873,2.158558551,0.809351359,2.66702283,0.007652647,0.015604982
DCBLD1,2465.468842,2.158991842,0.175817855,12.27970758,1.16E-34,1.56E-32
FAM183B,5.789542514,2.159079839,0.469478124,4.598893386,4.25E-06,1.59E-05
LRRC15,2601.369873,2.162114585,0.360220517,6.002197218,1.95E-09,1.22E-08
FOXD1,506.7460174,2.162262259,0.22696025,9.527052697,1.62E-21,4.83E-20
C20orf197,58.32890801,2.162425035,0.422729513,5.115386958,3.13E-07,1.41E-06
HOXB5,19.38023918,2.162842488,0.327844513,6.597159327,4.19E-11,3.31E-10
HIST1H2AJ,5.207705876,2.163225997,0.417058479,5.186864923,2.14E-07,9.87E-07
LCTL,7.257511505,2.165679276,0.360863677,6.001377839,1.96E-09,1.23E-08
MYBL2,4002.544037,2.167441198,0.161258636,13.44077595,3.49E-41,1.12E-38
CNTNAP2,875.0430431,2.168075603,0.401749747,5.396582367,6.79E-08,3.39E-07
COL4A5,3576.342629,2.168721811,0.188236887,11.52123715,1.03E-30,8.38E-29
PDPN,7143.126701,2.17065712,0.20319235,10.68276991,1.23E-26,6.37E-25
TREML4,2.281801398,2.171437772,0.595483808,3.646510187,0.000265826,0.000730938
RIMS2,132.0505129,2.176020225,0.338063463,6.436721093,1.22E-10,9.11E-10
ALG1L,578.9967954,2.176372433,0.232495368,9.360928156,7.90E-21,2.15E-19
CAGE1,14.42122472,2.176659842,0.268097104,8.118923369,4.70E-16,6.89E-15
IFI27,36961.65799,2.180923563,0.232699453,9.372276266,7.10E-21,1.94E-19
COL7A1,18029.65316,2.181317955,0.198961492,10.96351829,5.72E-28,3.47E-26
SHOX2,201.022847,2.183284523,0.24396172,8.949291415,3.58E-19,7.80E-18
GOLGA8DP,1.64718913,2.183756853,0.678474748,3.218626575,0.001288061,0.003100066
SERPINH1,17422.93192,2.185765179,0.16365611,13.35584216,1.10E-40,3.34E-38
MMP8,21.09344627,2.186841013,0.449469512,4.865382309,1.14E-06,4.74E-06
DISP2,230.7933127,2.191180643,0.304899187,7.186574232,6.64E-13,6.56E-12
VIL1,3.205574462,2.192070336,0.628621142,3.487108833,0.000488273,0.001275591
C21orf96,1.542061019,2.193568086,0.484227575,4.530035465,5.90E-06,2.16E-05
MUC17,1.459519274,2.193745495,0.716266679,3.062749616,0.002193135,0.005027106
HOXD4,21.38621121,2.193904213,0.333811463,6.572285423,4.95E-11,3.87E-10
TEX19,5.57201552,2.194115311,0.43843664,5.00440682,5.60E-07,2.43E-06
SCG5,134.3249158,2.19500817,0.284523334,7.714685957,1.21E-14,1.49E-13
ENO2,1572.946949,2.204810035,0.244046227,9.034395073,1.65E-19,3.78E-18
IFIT2,1964.869465,2.207428368,0.282200516,7.822198209,5.19E-15,6.73E-14
C19orf21,1561.250751,2.208681748,0.295978809,7.462296891,8.50E-14,9.38E-13
MGC12982,128.8185957,2.211410817,0.180524967,12.24988904,1.68E-34,2.18E-32
DLX1,179.2937958,2.213925114,0.229955054,9.627642777,6.11E-22,1.90E-20
EPHB2,1476.060617,2.215209443,0.229987779,9.631857182,5.87E-22,1.83E-20
RBM46,2.531401045,2.215998038,0.618017138,3.58565791,0.000336229,0.000905328
SPERT,25.45005343,2.216804132,0.318767535,6.954297065,3.54E-12,3.20E-11
FEZ1,2135.591441,2.217669147,0.236931237,9.359969474,7.98E-21,2.16E-19
FOXL1,177.7694222,2.219603902,0.283273094,7.835562037,4.67E-15,6.09E-14
C1orf180,1.288090005,2.21973232,0.560470958,3.960476966,7.48E-05,0.00022694
CXCL13,1075.373831,2.220079376,0.309966407,7.162322513,7.93E-13,7.75E-12
CELSR3,543.6615958,2.220212707,0.268436624,8.270900862,1.33E-16,2.07E-15
CPA6,69.74357206,2.221038292,0.367378723,6.045636712,1.49E-09,9.53E-09
ACAN,176.6296284,2.225557174,0.288836721,7.705243179,1.31E-14,1.59E-13
LAIR2,17.59015464,2.226208138,0.321795472,6.918084103,4.58E-12,4.07E-11
IL1RL1,214.8684543,2.226342976,0.378443205,5.882898532,4.03E-09,2.41E-08
COL4A1,20872.13349,2.231160232,0.192990296,11.56099697,6.50E-31,5.39E-29
ELAVL2,205.3516833,2.236654445,0.37908153,5.900193666,3.63E-09,2.19E-08
MGC87042,262.8338108,2.237599054,0.304058269,7.359112657,1.85E-13,1.96E-12
COL6A3,38427.88203,2.244485983,0.289634903,7.749362929,9.24E-15,1.15E-13
VEGFC,1292.569999,2.246215365,0.257025404,8.739273738,2.35E-18,4.60E-17
TNFSF4,191.052955,2.246852943,0.256353673,8.764660628,1.87E-18,3.73E-17
IL1F7,6.032197906,2.247132614,0.560335702,4.010332744,6.06E-05,0.000186989
CXCR2P1,85.72849446,2.248293939,0.400159651,5.618492358,1.93E-08,1.05E-07
CDSN,10288.4329,2.248682612,0.453710273,4.956208277,7.19E-07,3.08E-06
IFI44L,2781.062575,2.250233547,0.291870077,7.70970965,1.26E-14,1.54E-13
GRIA3,86.01870197,2.250936415,0.354992491,6.340800084,2.29E-10,1.65E-09
AMIGO2,1992.592253,2.250976804,0.230927955,9.747528423,1.89E-22,6.18E-21
LBX2,29.64284661,2.255107127,0.249580669,9.035584119,1.63E-19,3.75E-18
HOXC13,567.0220129,2.256087011,0.249615323,9.038255293,1.59E-19,3.67E-18
SLC6A10P,164.5299723,2.258398564,0.356107472,6.341901655,2.27E-10,1.64E-09
AFP,3.826508672,2.259525304,0.547832679,4.124480685,3.72E-05,0.000119031
HOXB6,46.63440734,2.266908245,0.291911698,7.765732794,8.12E-15,1.02E-13
GOLGA6L1,27.72913387,2.269204723,0.441381233,5.141144558,2.73E-07,1.24E-06
GLIS1,107.7165663,2.27064639,0.279920761,8.111746981,4.99E-16,7.26E-15
LHFPL5,2.607732985,2.271205756,0.46509387,4.883327654,1.04E-06,4.36E-06
FSTL3,3794.463443,2.271584047,0.231189976,9.825616502,8.73E-23,2.99E-21
PSORS1C1,58.20029721,2.275547314,0.32859499,6.925082194,4.36E-12,3.88E-11
C1orf186,220.8020593,2.275703082,0.353040226,6.446016386,1.15E-10,8.59E-10
LY6K,2424.66657,2.276034803,0.24116703,9.437586909,3.81E-21,1.08E-19
NKX3-2,41.61341156,2.276296941,0.360822082,6.308640898,2.81E-10,2.00E-09
T,1.624153855,2.279164711,0.677772207,3.362729672,0.000771759,0.001943504
HIST1H2BM,2.608695158,2.281472712,0.496363368,4.596376079,4.30E-06,1.61E-05
MGC4473,5.893237958,2.282119613,0.567435753,4.021811458,5.78E-05,0.000178827
APBA2,327.860867,2.282857904,0.222558769,10.25732623,1.10E-24,4.67E-23
TM7SF4,22.29749348,2.283003848,0.440106957,5.187384141,2.13E-07,9.85E-07
PLEKHG4B,395.544172,2.291355604,0.307427987,7.453308419,9.10E-14,1.00E-12
IFIT1B,1.905047416,2.293744811,0.479274314,4.785870526,1.70E-06,6.86E-06
C6orf141,288.9658037,2.296868612,0.249882339,9.191800502,3.86E-20,9.64E-19
GPR176,482.8387895,2.302061908,0.262534437,8.768609317,1.81E-18,3.61E-17
DHRS2,285.4626507,2.303191641,0.372459013,6.183745223,6.26E-10,4.22E-09
COL5A3,4441.827868,2.305724331,0.214792531,10.73465786,7.00E-27,3.74E-25
HAP1,319.7551833,2.306457147,0.298750502,7.720345672,1.16E-14,1.42E-13
PSG3,1.20454766,2.306857836,0.728329377,3.167327736,0.001538468,0.00364612
PRDM9,1.196943566,2.314601596,0.943079556,2.454301528,0.014115856,0.027020887
AMZ1,38.0854561,2.314904487,0.327583003,7.06661965,1.59E-12,1.50E-11
IFIT3,6776.319264,2.31522905,0.27631428,8.378969947,5.34E-17,8.83E-16
LOC254559,195.5782757,2.316539874,0.340836874,6.796623409,1.07E-11,9.11E-11
DMP1,3.542753181,2.317740395,0.423835341,5.468492525,4.54E-08,2.33E-07
CTHRC1,2338.244651,2.320986205,0.277985622,8.349303058,6.87E-17,1.12E-15
NEUROD2,2.68012283,2.322436419,0.803850237,2.889140678,0.003862962,0.008394009
IL1A,2463.682123,2.322801088,0.331071113,7.016018612,2.28E-12,2.11E-11
CHST2,3464.817318,2.324814001,0.268278659,8.665668773,4.49E-18,8.56E-17
GAD1,75.40799815,2.328391444,0.320302103,7.269360474,3.61E-13,3.69E-12
TAS2R38,1.567529667,2.328443823,0.53719435,4.334453303,1.46E-05,5.02E-05
C12orf59,81.6159897,2.328529249,0.381167229,6.108943977,1.00E-09,6.59E-09
FGB,6.681409268,2.333896549,0.889034467,2.625203675,0.008659715,0.017445175
FOXH1,24.45853943,2.342770836,0.423937259,5.526220657,3.27E-08,1.72E-07
IFIT1,5031.912401,2.344047241,0.287566016,8.151336086,3.60E-16,5.35E-15
IFI44,3272.848152,2.349525672,0.226169747,10.38832868,2.80E-25,1.27E-23
LOC283999,1.499097959,2.359502959,0.826498299,2.854818893,0.004306138,0.009256633
CBLN2,19.05443541,2.362979606,0.483004886,4.892247831,9.97E-07,4.18E-06
NRIP3,302.0478906,2.363042055,0.224525599,10.52459973,6.65E-26,3.24E-24
TMEM92,244.6187714,2.366482737,0.244658703,9.672587603,3.94E-22,1.25E-20
ITGA5,11251.43427,2.36694118,0.195621467,12.09959834,1.06E-33,1.22E-31
IGFBP1,5.435270734,2.370844177,0.469280975,5.052078182,4.37E-07,1.93E-06
PKHD1,20.00230303,2.371132693,0.485461533,4.88428543,1.04E-06,4.34E-06
TNC,50099.7682,2.371732363,0.249349616,9.511674399,1.88E-21,5.51E-20
KNG1,1.429816114,2.374750679,0.783565477,3.030698453,0.002439888,0.005537055
GRK7,7.94219055,2.377447815,0.391933136,6.065952578,1.31E-09,8.46E-09
FSD1,40.81687947,2.380153524,0.297929842,7.988973201,1.36E-15,1.88E-14
CYP27C1,625.6712522,2.381283748,0.245164764,9.712993462,2.65E-22,8.53E-21
ORM2,3.771582952,2.381920647,0.723281717,3.293212852,0.000990495,0.002438623
C11orf86,2.8786433,2.38222389,0.652868845,3.648855217,0.000263411,0.000724802
AMAC1L2,5.197452899,2.3839793,0.498851095,4.778939696,1.76E-06,7.08E-06
KIF26B,797.2226837,2.394891696,0.2199549,10.8881034,1.31E-27,7.64E-26
DFNA5,2170.00878,2.395223054,0.181546378,13.19344995,9.57E-40,2.67E-37
SLC6A2,312.1950261,2.399290963,0.338584698,7.086235663,1.38E-12,1.31E-11
STRA6,626.8549261,2.399754852,0.332182554,7.224204957,5.04E-13,5.04E-12
ADAMTS14,477.2613848,2.40102885,0.224866262,10.677586,1.30E-26,6.70E-25
EMR1,150.4433068,2.40161657,0.362298024,6.628842589,3.38E-11,2.71E-10
GJB7,53.34771113,2.404784828,0.495214498,4.856046903,1.20E-06,4.95E-06
IL28B,1.121083102,2.409170598,0.663579861,3.630566176,0.0002828,0.000773645
POU4F1,26.95008622,2.409931162,0.567465574,4.24683236,2.17E-05,7.23E-05
COL13A1,192.3424536,2.411968924,0.187579262,12.85839865,7.72E-38,1.46E-35
C16orf73,6.622644565,2.415705312,0.74703369,3.233730077,0.001221849,0.002956489
FOXE3,6.633171886,2.416160837,0.499598615,4.836204035,1.32E-06,5.42E-06
C18orf2,10.24558993,2.416563591,0.802011145,3.013129687,0.002585684,0.00583588
ITGA11,947.4758546,2.418380877,0.324287653,7.457517595,8.82E-14,9.71E-13
GOLGA8G,2.871919659,2.421750462,0.637384093,3.799515065,0.000144979,0.000417634
MGC16121,34.97092146,2.427503339,0.312759547,7.761564304,8.39E-15,1.05E-13
FAP,1737.971798,2.432195877,0.258117454,9.422826081,4.39E-21,1.23E-19
EPHA8,8.97607007,2.435251786,0.522779065,4.658281003,3.19E-06,1.22E-05
CLDN6,13.4577564,2.438396215,0.561815969,4.340204533,1.42E-05,4.90E-05
NPFFR2,6.800637142,2.450362079,0.878659972,2.788748956,0.005291206,0.011164884
HIST1H4I,3.279028106,2.462495178,0.406328743,6.060351916,1.36E-09,8.74E-09
CILP2,158.2737772,2.470027814,0.344308951,7.173870473,7.29E-13,7.16E-12
ZNF469,1134.967182,2.472341489,0.271998333,9.089546484,9.95E-20,2.34E-18
OBP2A,4.928285539,2.472355516,0.492240378,5.022658903,5.10E-07,2.23E-06
SERPINA10,2.137948619,2.481571191,0.535476779,4.634320834,3.58E-06,1.36E-05
NRG1,1492.429775,2.483342305,0.281018981,8.836920179,9.84E-19,2.05E-17
NPB,23.30169331,2.484805556,0.390094462,6.369753473,1.89E-10,1.38E-09
DPY19L2P1,10.02533143,2.487304659,0.541535961,4.593055382,4.37E-06,1.64E-05
JPH3,29.46460845,2.48732211,0.391209786,6.358026298,2.04E-10,1.48E-09
DVWA,4.99774193,2.488725662,0.363184778,6.852505427,7.26E-12,6.30E-11
ONECUT1,2.259771022,2.493383115,0.570767296,4.368475791,1.25E-05,4.35E-05
SYNGR4,8.089071157,2.494733119,0.47261378,5.278587346,1.30E-07,6.22E-07
ZP4,3.467433171,2.495194109,0.646027132,3.862367361,0.000112294,0.000330141
EN2,106.6553675,2.495502331,0.337946437,7.384313175,1.53E-13,1.64E-12
MATN3,169.4322703,2.495727178,0.292313377,8.537847984,1.37E-17,2.44E-16
AMAC1,2.849109372,2.496958174,0.71673911,3.48377553,0.000494394,0.001290224
DNMT3B,567.4503079,2.497419338,0.191712748,13.02688192,8.61E-39,2.11E-36
TSPAN10,507.7628219,2.499853361,0.264085903,9.466061344,2.91E-21,8.34E-20
IGF2BP2,3468.678012,2.500239562,0.190546566,13.12140969,2.48E-39,6.75E-37
PCSK9,1866.73051,2.502148405,0.29456274,8.494449803,1.99E-17,3.50E-16
KIR2DS4,6.791884431,2.502236686,0.542073177,4.616049625,3.91E-06,1.48E-05
RAB3B,31.53490764,2.50247106,0.410429002,6.097208159,1.08E-09,7.06E-09
DLX6,84.1903971,2.508716581,0.329387252,7.616313523,2.61E-14,3.04E-13
ORM1,10.8550431,2.509155426,0.554268593,4.526966631,5.98E-06,2.19E-05
CAMK2N2,100.9139725,2.509409023,0.239468875,10.4790613,1.08E-25,5.12E-24
PLAU,16231.78606,2.514989051,0.193417381,13.00291133,1.18E-38,2.75E-36
HIST1H1D,14.15635858,2.52350861,0.341032451,7.399614327,1.37E-13,1.47E-12
