ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
RBM20,74.77924354,-2.263151551,0.31501873,-7.184180931,6.76E-13,6.67E-12
PRG4,122.6694718,-2.261745574,0.435862551,-5.189125715,2.11E-07,9.77E-07
CCDC42B,29.29418108,-2.261563982,0.272905751,-8.286978116,1.16E-16,1.83E-15
SLC7A3,1.101711315,-2.257634361,0.513955477,-4.392665245,1.12E-05,3.93E-05
ALDH1A1,2093.183252,-2.255783098,0.406067927,-5.555186574,2.77E-08,1.47E-07
HRASLS5,22.95824245,-2.255508814,0.47500243,-4.748415319,2.05E-06,8.12E-06
NHLRC4,28.09205635,-2.25544724,0.240741141,-9.368765277,7.34E-21,2.00E-19
IL5RA,6.999331668,-2.255062922,0.51087191,-4.414145458,1.01E-05,3.58E-05
MITF,330.8176602,-2.254884871,0.230161239,-9.796979187,1.16E-22,3.89E-21
C2orf62,2.533903276,-2.254125404,0.368549055,-6.116215387,9.58E-10,6.32E-09
JPH1,562.8259429,-2.252551416,0.270773273,-8.318957754,8.87E-17,1.42E-15
SFRP1,3186.037533,-2.250984662,0.36444509,-6.17647137,6.56E-10,4.41E-09
MMP27,11.54865158,-2.250370287,0.421572188,-5.338042578,9.40E-08,4.59E-07
ASB2,610.3503661,-2.249813627,0.260501294,-8.636477743,5.80E-18,1.09E-16
VTCN1,234.0065762,-2.248902328,0.498830936,-4.508345746,6.53E-06,2.38E-05
FOLH1B,5.068296297,-2.248068383,0.430464272,-5.222427336,1.77E-07,8.28E-07
NOVA1,38.94965006,-2.247638009,0.306823745,-7.325502171,2.38E-13,2.49E-12
SYNPO2,5098.726397,-2.247231072,0.423622852,-5.304791897,1.13E-07,5.43E-07
SPTBN4,34.0053968,-2.246639034,0.258120985,-8.703821722,3.21E-18,6.19E-17
SLC1A7,18.11017147,-2.244768978,0.4077922,-5.504688368,3.70E-08,1.93E-07
PDE11A,34.5814982,-2.243152297,0.512473676,-4.377107352,1.20E-05,4.19E-05
CPT1B,718.3126538,-2.242924648,0.267144762,-8.395914763,4.62E-17,7.72E-16
EFHC2,34.42721414,-2.242281002,0.31270947,-7.170492795,7.47E-13,7.33E-12
ESRRB,11.84113082,-2.241635805,0.437732808,-5.121013928,3.04E-07,1.37E-06
KLK3,20.86943705,-2.240893921,0.868625457,-2.579816078,0.009885295,0.019611436
HFM1,2.387586969,-2.240272134,0.41777339,-5.362409838,8.21E-08,4.04E-07
LOC285419,6.073169275,-2.239482758,0.321550345,-6.964641126,3.29E-12,2.98E-11
FAM13C,171.897853,-2.239285069,0.285815847,-7.834712773,4.70E-15,6.13E-14
SLC16A6,152.1751813,-2.238488374,0.285767469,-7.833251206,4.75E-15,6.20E-14
SHROOM3,1079.835274,-2.236122764,0.199475198,-11.21002906,3.64E-29,2.49E-27
BARX2,1933.746442,-2.233994376,0.246694843,-9.055699544,1.36E-19,3.15E-18
XPNPEP2,62.33500883,-2.232870685,0.388024666,-5.754455534,8.69E-09,4.94E-08
BMP5,9.287158764,-2.231370101,0.495333133,-4.504786683,6.64E-06,2.42E-05
CX3CR1,102.0320836,-2.229283511,0.289404816,-7.702993837,1.33E-14,1.62E-13
NUCB2,2235.403371,-2.228277807,0.141584584,-15.73813859,8.28E-56,8.22E-53
MFAP4,1293.629308,-2.228234714,0.321039073,-6.940696317,3.90E-12,3.50E-11
C4A,3231.698453,-2.221464208,0.308722763,-7.195660563,6.22E-13,6.15E-12
PTGFR,154.2581431,-2.220623666,0.337276831,-6.583979274,4.58E-11,3.60E-10
FLJ26850,2.722343771,-2.220611038,0.378416504,-5.868166467,4.41E-09,2.62E-08
RASD1,729.8245193,-2.219755661,0.272219097,-8.154298093,3.51E-16,5.22E-15
DNER,265.439672,-2.216917577,0.365780806,-6.060781601,1.35E-09,8.72E-09
C1orf194,0.733903487,-2.216749815,0.779099298,-2.84527251,0.004437344,0.009513939
OTOP1,2.597247428,-2.214635362,0.621491485,-3.563420281,0.000366054,0.000981106
SERPINI2,1.49788029,-2.213465269,0.63333709,-3.494924433,0.000474196,0.001241596
CCDC110,21.84996444,-2.21303826,0.27893794,-7.933801563,2.13E-15,2.87E-14
GPRASP1,102.2230815,-2.212277082,0.199457904,-11.09144854,1.38E-28,8.92E-27
LMX1A,2.986512105,-2.211811521,0.48086416,-4.599659745,4.23E-06,1.59E-05
ANKRD53,18.63457534,-2.211098489,0.265671076,-8.322691803,8.60E-17,1.38E-15
GLYAT,2.371027915,-2.210447505,0.554801149,-3.984215805,6.77E-05,0.000207215
FILIP1,227.0270155,-2.209993326,0.321685999,-6.870032681,6.42E-12,5.61E-11
UPF0639,4.511216705,-2.208825474,0.344932444,-6.403646597,1.52E-10,1.12E-09
IFLTD1,0.396895019,-2.20813343,0.885127979,-2.494705265,0.012606179,0.024394653
JSRP1,241.2276934,-2.205066878,0.399238196,-5.523186163,3.33E-08,1.75E-07
ADARB2,21.52132425,-2.20434642,0.409866274,-5.378208849,7.52E-08,3.73E-07
FAM74A3,0.229860539,-2.203952373,0.953319257,-2.311872288,0.020784722,0.038198064
MYOCD,13.34640354,-2.203157854,0.364859415,-6.038374688,1.56E-09,9.93E-09
DGAT2,1536.93946,-2.202779224,0.264822265,-8.317953264,8.95E-17,1.43E-15
